507,80,-1244,600
608,88,-2028,720
710,136,-1224,-92
811,32,-592,-92
912,72,-920,-100
1014,176,-1844,-108
1115,112,-1484,-32
1217,-8,-604,-28
1318,36,-1100,-100
1419,136,-1764,-60
1521,144,-1524,384
1622,60,-728,-104
1724,36,-848,-160
1825,136,-1640,-100
1926,104,-1608,208
2028,-24,-896,28
2129,24,-896,-152
2231,112,-1576,132
2332,144,-1536,160
2433,32,-616,-96
2535,36,-716,-196
2636,196,-1412,-344
2736,136,-1556,708
2838,4,-868,-4
2939,32,-804,-40
3041,128,-1652,-40
3142,160,-1556,-288
3243,68,-796,-100
3345,20,-724,-72
3446,88,-1364,-48
3548,88,-1576,208
3649,16,-1132,12
3749,-12,-708,-220
3851,92,-1364,0
3952,152,-1556,52
4054,84,-848,-112
4155,4,-704,-72
4256,104,-1288,-80
4358,68,-1752,448
4459,92,-1144,-396
4561,36,-732,-484
4762,116,-1600,356
4864,80,-996,-88
4965,48,-696,-328
5067,84,-1260,-8
5168,32,-1580,676
5269,8,-1040,36
5371,12,-816,-308
5472,84,-1340,-104
5574,132,-1540,232
5675,40,-1016,124
5776,28,-740,-172
5878,80,-1196,-68
5979,128,-1624,-212
6081,32,-1080,-52
6182,16,-864,-312
6283,68,-1300,-40
6385,128,-1428,156
6486,88,-1024,-28
6588,24,-700,-196
6689,60,-1140,96
6790,88,-1332,348
6892,36,-1052,-80
6993,16,-928,-240
7095,84,-1268,-124
7196,76,-1392,468
7297,40,-972,44
7399,28,-664,-216
7500,68,-1188,-52
7602,72,-1416,104
7703,52,-1088,48
7804,12,-884,-228
7906,72,-1264,-128
8007,40,-1464,696
8109,48,-952,40
8210,36,-800,-132
8311,64,-1148,-76
8413,128,-1332,-348
8514,32,-940,-168
8614,8,-960,-116
8715,92,-1256,-172
8816,48,-1364,600
8918,40,-952,-48
9019,20,-808,-172
9121,52,-1220,24
9222,-4,-1248,524
9323,28,-988,-208
9425,12,-992,-208
9526,72,-1300,-104
9626,88,-1064,308
9727,32,-916,40
9828,36,-784,-248
9929,68,-1268,-48
10030,32,-1188,524
10132,16,-940,24
10233,40,-988,-432
10335,56,-1240,-84
10537,24,-920,24
10639,12,-944,12
10740,56,-1224,-60
10842,28,-1292,344
10943,32,-1076,-204
11044,16,-1048,-420
11146,76,-1276,-168
11247,68,-1100,340
11348,24,-840,68
11450,88,-920,-460
11551,76,-1272,-108
11653,68,-1252,-60
11754,-4,-940,-92
11855,60,-1228,-404
11957,92,-1236,-180
12058,72,-916,80
12160,16,-916,52
12261,56,-1072,-160
12362,56,-1224,-48
12462,72,-1132,-124
12563,12,-828,-92
12665,28,-1096,-152
12766,68,-1184,-120
12867,28,-1052,380
12969,32,-832,-68
13070,56,-1036,-168
13172,48,-1212,-56
13273,36,-1080,-176
13374,4,-948,-64
13476,32,-1140,20
13577,64,-1248,-52
13679,28,-948,44
13780,28,-984,60
13881,64,-1124,-92
13983,44,-1200,-60
14084,20,-1024,-60
14186,28,-972,20
14287,52,-1132,-20
14388,56,-1112,-48
14490,40,-900,-72
14591,40,-928,-48
14693,52,-1144,-40
14794,40,-1188,-36
14895,16,-1000,-48
14997,20,-1096,-12
15098,72,-1168,-220
15200,48,-1072,8
15301,36,-924,24
15401,40,-956,-52
15503,64,-1180,-88
15604,36,-1092,-44
15706,8,-980,12
15807,20,-1096,16
15908,52,-1184,-16
16010,56,-1048,-40
16111,40,-904,-44
16213,48,-1008,-56
16314,44,-1160,-28
16414,32,-1120,-32
16516,12,-972,-20
16617,32,-1072,-80
16719,48,-1160,-32
16820,44,-1000,-8
16921,24,-896,-24
17023,44,-1048,-20
17124,48,-1160,-24
17226,24,-1032,-8
17327,20,-960,-96
17428,40,-1108,0
17530,64,-1128,-28
17631,52,-976,-52
17733,28,-932,-52
17834,44,-1092,-44
17935,28,-1136,-32
18037,16,-1016,4
18138,0,-1020,20
18240,36,-1120,-20
18341,48,-1084,-44
18442,32,-948,-44
18544,32,-920,-52
18645,48,-1088,-36
18591,44,-1140,-20
18693,40,-1084,-108
18794,12,-1012,4
18896,28,-1072,4
18997,48,-1156,-4
19098,56,-1036,-56
19200,40,-912,-36
19301,36,-1020,-36
19403,44,-1128,-36
19504,20,-1008,24
19604,16,-964,-24
19706,32,-1072,-64
19807,56,-1132,-28
19909,32,-1000,52
20010,32,-908,-44
20111,36,-1052,-16
20213,36,-1136,-28
20314,20,-1040,-32
20416,16,-984,-44
20516,36,-1088,-36
20617,48,-1112,-28
20717,24,-956,60
20818,36,-920,-52
20919,36,-1056,-36
21021,40,-1124,-44
21122,28,-1000,-24
21224,20,-1008,-20
21325,40,-1124,-16
21426,52,-1096,-28
21528,20,-956,28
21629,36,-960,-52
21729,40,-1096,-40
21830,40,-1112,-16
21932,12,-988,-56
22033,24,-1024,-28
22134,36,-1108,-20
22236,44,-1044,-36
22337,44,-948,-60
22439,36,-980,-28
22539,40,-1096,-24
22640,32,-1092,-16
22742,12,-996,4
22843,28,-1040,-56
22945,48,-1120,-24
23046,44,-1012,-44
23147,36,-920,-36
23249,36,-1000,-32
23350,44,-1108,-24
23452,36,-1064,-8
23553,20,-996,-36
23654,28,-1048,-24
23756,44,-1100,-32
23857,40,-992,0
23959,24,-928,-32
24060,40,-1032,-28
24161,44,-1108,-28
