304,92,-828,-60
405,24,-1132,16
506,44,-1472,-144
608,84,-1276,-244
709,44,-848,-100
811,44,-688,-160
912,28,-1144,-52
1013,52,-1524,-132
1115,4,-1164,-48
1216,-40,-880,-12
1318,-20,-944,-44
1419,28,-1372,-124
1521,56,-1496,-140
1623,40,-1008,-48
1724,24,-728,-32
1826,36,-952,24
1927,52,-1404,-128
2029,16,-1424,-76
2130,-28,-924,-48
2232,-28,-816,-96
2334,20,-1196,-168
2436,32,-1516,-68
2538,36,-1268,20
2639,24,-764,-28
2739,12,-836,-36
2840,32,-1260,-64
2941,32,-1496,-136
3043,-12,-1164,-8
3144,-36,-828,-140
3246,-16,-932,-36
3347,44,-1408,-96
3448,56,-1376,-84
3550,36,-976,-4
3651,20,-752,-64
3751,44,-1060,-140
3852,52,-1388,-148
3953,12,-1320,-40
4055,-28,-920,-72
4156,-20,-888,-96
4258,12,-1264,-100
4359,56,-1452,-120
4460,36,-1124,-72
4562,32,-780,-60
4663,28,-868,-92
4763,36,-1276,-88
4864,28,-1412,-96
4965,-8,-1100,-160
5066,-32,-836,-84
5168,-4,-1096,-96
5269,32,-1392,-92
5371,56,-1292,-144
5472,32,-916,-12
5573,16,-744,104
5675,24,-1068,84
5776,32,-1440,-112
5878,12,-1188,-132
5979,-40,-892,-20
6081,-52,-868,-100
6182,12,-1284,-56
6284,52,-1392,-116
6385,44,-1008,-132
6486,32,-748,-156
6588,36,-920,-120
6688,40,-1324,-116
6790,24,-1308,-100
6891,-12,-976,-60
6992,-24,-892,-92
7094,4,-1160,-84
7195,40,-1376,-92
7297,44,-1212,-76
7399,8,-792,-148
7500,20,-856,-36
7602,28,-1220,-52
7703,20,-1376,-76
7805,0,-1096,-188
7906,-28,-840,-152
8007,-12,-1008,-80
8109,32,-1316,-104
8210,44,-1276,-100
8312,24,-904,-16
8413,28,-784,-104
8514,36,-1060,-72
8616,36,-1356,-100
8717,8,-1248,-164
8819,-28,-928,-16
8920,-20,-900,-52
9021,8,-1204,-104
9122,44,-1336,-108
9224,48,-1064,-152
9325,24,-776,-124
9427,32,-936,-48
9528,52,-1248,-136
9629,24,-1284,-124
9731,-16,-1012,-48
9833,-24,-884,-76
9934,4,-1124,-88
10035,32,-1348,-80
10137,24,-1200,104
10238,28,-892,-128
10340,20,-896,-124
10441,24,-1164,-76
10541,20,-1324,-84
10643,-20,-1084,-32
10776,-36,-928,-192
10878,-24,-908,-12
10979,8,-1196,-148
11081,52,-1304,-112
11182,32,-1016,-136
11283,16,-808,-8
11385,20,-968,-92
11486,40,-1264,-116
11588,16,-1256,-64
11689,-20,-1028,-40
11790,-28,-876,-152
11892,-12,-1084,-92
11993,28,-1300,-100
12095,36,-1116,-8
12196,20,-852,-116
12298,24,-900,-44
12399,32,-1168,-72
12501,16,-1312,-80
12602,-8,-1128,-60
12703,-32,-892,-20
12805,-12,-1052,-104
12906,24,-1276,-108
13008,36,-1200,-108
13108,48,-880,-104
13209,44,-760,-176
13311,40,-1044,-96
13412,32,-1272,-104
13514,16,-1168,-120
13615,-12,-940,-144
13716,-20,-980,-48
13818,20,-1204,-112
13919,40,-1260,-100
14021,28,-1016,-120
14121,20,-812,-144
14222,28,-960,-128
14324,36,-1200,-120
14425,20,-1212,-88
14527,-16,-976,-36
14628,-20,-912,-52
14730,4,-1120,-112
14832,40,-1272,-80
14933,24,-1132,28
15033,8,-884,-8
15134,20,-916,-64
15235,24,-1184,-108
15337,4,-1272,-80
15438,-12,-1064,-64
15540,-24,-920,-52
15641,-4,-1056,-72
15742,24,-1224,-96
15844,32,-1176,-100
15945,32,-956,-112
16045,20,-848,-60
16146,24,-1104,-72
16247,20,-1260,-84
16349,-4,-1084,-56
16450,-12,-924,-20
16552,-20,-988,-40
16653,8,-1196,-88
16754,40,-1232,-96
16856,52,-952,-156
16957,48,-796,-32
17059,32,-988,-104
17160,32,-1232,-84
17261,8,-1172,-160
17363,-28,-968,-24
17464,-12,-940,-64
17566,8,-1140,-68
17667,32,-1244,-100
17768,12,-1048,-112
17869,12,-864,-68
17971,16,-948,-68
18072,28,-1180,-84
18174,4,-1212,-64
18275,-12,-1076,-68
18376,-16,-948,-68
18478,-4,-1084,-80
18580,12,-1236,-80
18681,24,-1092,-100
18783,32,-868,-132
18884,36,-840,-144
18984,36,-1100,-92
19085,24,-1220,-92
19186,-4,-1108,-44
19288,-32,-944,4
19389,-8,-1020,-108
19490,12,-1212,-72
19592,28,-1172,-92
19693,24,-972,-12
19794,20,-860,-108
19896,28,-1040,-72
19997,16,-1196,-96
20099,8,-1164,-212
20200,-24,-940,-152
20301,-20,-976,-44
20403,8,-1140,-96
20504,28,-1188,-96
20606,36,-1052,-116
20707,20,-872,-124
20808,20,-952,-84
20910,24,-1164,-64
21011,16,-1184,-76
21113,-20,-976,-36
21214,-12,-964,-132
21315,0,-1104,-48
21417,12,-1204,-96
21518,28,-1052,-92
21620,28,-912,-116
21721,24,-928,-96
21822,28,-1120,-112
21922,16,-1184,-60
22024,-20,-1020,-120
22125,-20,-960,-156
22226,-4,-1044,-112
22328,12,-1180,-80
22429,32,-1120,-96
22531,28,-892,-20
22632,24,-912,-76
22733,28,-1064,-104
22835,16,-1188,-80
22935,-4,-1084,-40
23037,-16,-936,-100
23138,-8,-1004,-44
23239,12,-1148,-100
23341,32,-1156,-104
23442,8,-992,-40
23544,8,-892,-72
