101,1048,-256,-20
202,960,-240,32
304,952,-240,28
405,-96,-804,-104
507,72,-1448,-188
608,212,-2040,-344
710,236,-2040,-244
811,132,-1040,-32
912,212,48,52
1014,164,-684,-220
1115,188,-1816,-368
1217,108,-2040,-288
1318,24,-1616,-36
1419,-48,-716,84
1521,-40,-456,-92
1622,0,-1132,-132
1724,184,-1924,-492
1825,208,-2040,-472
1926,164,-1280,24
2028,64,-484,88
2129,44,-724,84
2231,128,-1416,-272
2370,220,-1984,-560
2472,92,-1972,-192
2573,24,-928,4
2675,-40,-536,136
2776,-28,-796,-136
2878,36,-1600,-240
2979,180,-2040,-320
3081,140,-1464,-8
3182,104,-592,-4
3284,60,-504,-68
3385,116,-1168,-120
3487,152,-1912,-528
3588,56,-1924,-148
3689,104,-1072,-596
3790,-56,-620,-92
3891,-8,-940,-148
3993,72,-1764,-172
4094,144,-2040,-196
4195,168,-1344,-264
4297,96,-668,-100
4398,20,-580,16
4500,60,-1104,-128
4601,124,-1832,-260
4702,100,-1812,-328
4804,16,-1004,-200
4905,-56,-648,-68
5007,-32,-932,-92
5109,60,-1576,-196
5211,152,-1908,-248
5312,144,-1364,-244
5412,80,-728,-120
5513,68,-560,-120
5614,104,-1204,-192
5716,132,-1740,-344
5817,88,-1716,-392
5919,124,-1136,-428
6020,-44,-616,-100
6121,-16,-884,-140
6223,64,-1536,-204
6324,148,-1792,-296
6424,124,-1324,-264
6525,64,-660,-168
6626,52,-628,-84
6728,108,-1208,-200
6829,112,-1776,-244
6931,72,-1620,-304
7032,8,-1056,-68
7133,-32,-656,-140
7235,12,-916,-180
7336,84,-1532,-236
7437,140,-1712,-264
7539,112,-1180,-68
7640,80,-648,-88
7741,68,-704,-136
7843,100,-1260,-228
7944,116,-1692,-276
8046,60,-1540,-340
8147,4,-912,-104
8249,-56,-696,-36
8349,0,-1120,-108
8449,104,-1612,-268
8551,116,-1600,-268
8652,104,-1088,-172
8753,56,-668,-68
8855,68,-784,-120
8956,104,-1316,-212
9058,100,-1672,-224
9159,24,-1376,-204
9261,-36,-864,-88
9361,-32,-768,-104
9463,24,-1180,-192
9564,108,-1536,-220
9665,68,-1024,-44
9767,164,-1048,-384
9868,128,-592,-192
9969,84,-904,-180
10071,88,-1476,-192
10172,56,-1616,-228
10273,48,-1180,-328
10375,-28,-816,-48
10476,-28,-840,-52
10577,28,-1244,-140
10678,96,-1624,-220
10779,96,-1344,-208
10881,76,-856,-152
10982,64,-676,-104
11084,68,-1048,-148
11185,104,-1476,-244
11286,68,-1528,-200
11388,20,-1112,-212
11489,-12,-768,-116
11591,-20,-984,-96
11692,52,-1424,-192
11793,108,-1568,-272
11895,120,-1176,-272
11996,68,-768,-28
12098,76,-724,-144
12199,84,-1148,-172
12301,96,-1552,-216
12402,48,-1356,-188
12504,-12,-936,-116
12605,-28,-796,-116
12706,8,-1060,-160
12808,84,-1448,-220
12909,100,-1468,-220
13011,108,-1036,-176
13112,68,-760,-76
13213,80,-896,-120
13315,92,-1304,-192
13416,72,-1508,-204
13518,24,-1228,-156
13619,-16,-888,-48
13721,-16,-840,-64
13823,32,-1164,-136
13924,96,-1460,-196
14026,88,-1344,-84
14127,80,-868,-120
14228,68,-744,-76
14330,68,-1024,-156
14431,88,-1408,-232
14533,56,-1448,-176
14634,16,-1112,-168
14735,-8,-824,-48
14836,-12,-976,-116
14938,44,-1356,-204
15039,92,-1472,-244
15141,104,-1168,-120
15242,64,-816,-52
15343,68,-772,-184
15445,80,-1124,-172
15546,96,-1444,-216
15648,8,-1340,-96
15749,-8,-980,-176
15850,-8,-832,-124
15952,12,-1092,-164
16053,20,-1424,-148
16155,96,-1300,-224
16256,100,-944,-160
16357,72,-756,-124
16459,76,-940,-112
16560,84,-1320,-188
16662,68,-1384,-208
16763,12,-1244,-192
16864,-20,-908,-148
16966,-8,-884,-156
17068,28,-1172,-172
17168,72,-1420,-184
17269,80,-1260,-180
17371,72,-872,-164
17472,64,-800,-132
17574,68,-1064,-172
17675,76,-1376,-220
17776,48,-1356,-180
17878,12,-1044,-188
17979,8,-828,-144
18081,24,-968,-196
18181,48,-1336,-188
18282,92,-1376,-204
18384,68,-1060,-128
18485,68,-796,-108
18587,56,-880,-100
18688,84,-1168,-172
18789,76,-1388,-204
18891,40,-1208,-172
18992,-8,-944,-108
19094,-12,-904,-116
19194,28,-1148,-176
19294,76,-1360,-184
19395,84,-1244,-192
19496,72,-948,-196
19598,56,-808,-100
19699,68,-1000,-128
19800,76,-1276,-192
19902,60,-1352,-172
20003,12,-1036,-152
20105,-12,-864,-108
20205,-4,-968,-132
20306,24,-1256,-184
20408,88,-1324,-212
20509,104,-1100,-180
20611,72,-880,-72
20712,68,-828,-188
20813,56,-1120,-188
20914,72,-1348,-216
21016,20,-1228,-196
21117,4,-976,-144
21219,-12,-884,-96
21320,12,-1084,-128
21421,68,-1280,-176
21521,80,-1276,-196
21623,64,-1000,-80
21724,72,-848,-100
21825,68,-968,-120
21927,80,-1220,-248
22028,40,-1340,-164
22162,24,-1164,-140
22263,8,-900,-188
22365,4,-892,-160
22466,24,-1128,-164
22567,60,-1300,-184
22669,72,-1184,-196
22770,60,-956,-148
22872,52,-836,-160
22973,60,-1016,-176
23075,64,-1264,-180
23176,40,-1264,-164
23278,-4,-1096,-92
23379,0,-900,-144
23480,12,-972,-172
23582,48,-1216,-204
23682,68,-1272,-184
23784,76,-1048,-116
23885,68,-852,-160
23986,56,-912,-112
24088,72,-1128,-156
24189,48,-1300,-160
24290,40,-1168,-152
24392,-8,-928,-184
24493,0,-884,-192
24594,16,-1148,-136
24696,64,-1260,-208
24797,68,-1184,-176
24899,76,-936,-160
25000,48,-856,-100
25101,64,-940,-160
25203,56,-1224,-176
25304,52,-1228,-164
25406,36,-1084,-276
25507,-8,-908,-120
25608,12,-984,-132
25710,36,-1216,-184
25811,68,-1256,-208
25913,64,-1056,-168
26014,64,-860,-180
26115,48,-920,-120
26217,64,-1112,-140
26318,44,-1264,-168
26420,24,-1160,-124
26521,-28,-1004,-76
26622,12,-912,-140
26723,32,-1076,-180
26825,44,-1268,-148
26926,72,-1164,-188
27027,52,-988,-172
27129,48,-864,-128
27230,60,-1008,-180
27332,60,-1228,-180
27433,44,-1232,-156
27534,16,-996,-220
27636,-20,-932,-80
27737,0,-1012,-108
27839,44,-1160,-204
27940,52,-1240,-172
28041,56,-1084,-28
28143,60,-852,-188
28244,60,-912,-156
28346,64,-1116,-148
28447,48,-1252,-160
28548,8,-1188,-116
28650,20,-948,-152
28751,16,-908,-176
28853,16,-1064,-144
28954,52,-1224,-168
29055,68,-1144,-180
29156,40,-956,-152
29258,60,-888,-156
29359,64,-992,-144
29461,56,-1192,-160
29562,40,-1208,-160
29662,12,-1064,-136
29764,-24,-952,-72
29865,4,-1036,-156
29967,48,-1176,-148
30068,64,-1216,-164
30169,64,-1056,-128
30271,52,-892,-180
30372,52,-936,-140
30474,56,-1108,-152
30575,52,-1228,-172
30675,12,-1160,-132
30777,-12,-984,-160
30878,-12,-972,-88
30980,32,-1084,-168
31081,60,-1212,-216
31182,64,-1132,-176
31284,56,-968,-152
31385,52,-896,-136
31485,68,-1000,-156
31587,52,-1172,-184
31688,32,-1196,-148
31789,-8,-1068,-104
31891,12,-880,-232
31992,24,-1000,-208
32094,32,-1180,-128
32195,60,-1172,-188
32296,64,-1040,-168
32398,52,-892,-172
32499,60,-920,-192
32601,52,-1112,-164
32702,44,-1200,-168
32803,36,-1108,-160
32905,4,-968,-188
33006,-8,-976,-132
33108,20,-1092,-172
33209,60,-1188,-228
33310,56,-1128,-168
33412,68,-924,-148
33513,48,-904,-124
33615,56,-1016,-160
33716,60,-1168,-160
33817,32,-1176,-144
33918,28,-1028,-216
34020,20,-932,-216
34121,4,-1020,-104
34221,36,-1160,-160
34324,60,-1156,-172
34425,60,-1020,-164
34527,40,-908,-160
34627,56,-960,-156
34728,56,-1112,-172
34830,36,-1180,-168
34931,40,-1040,-172
35033,4,-968,-96
35135,16,-960,-180
35236,24,-1088,-184
35337,60,-1168,-164
35439,56,-1100,-160
35540,40,-968,-160
35642,56,-912,-180
35743,56,-1020,-120
35844,44,-1152,-164
35945,12,-1064,-196
